year,disaster_subgroup,disaster_type,disaster_subtype,disaster_subsubtype,country,latitude,longitude,start_year,start_month,start_day,end_year,end_month,end_day,total_deaths,total_damages
1902,Geophysical,Earthquake,Ground movement,NA,Guatemala,14,-91,1902,4,18,1902,4,18,2000,25000
1905,Geophysical,Earthquake,Ground movement,NA,India,32.04,76.16,1905,4,4,1905,4,4,20000,25000
1906,Geophysical,Earthquake,Ground movement,NA,Chile,33.05,71.4,1906,8,16,1906,8,16,20000,100000
1907,Geophysical,Earthquake,Ground movement,NA,China,38.5,69.9,1907,10,21,1907,10,21,12000,NA
1909,Geophysical,Earthquake,Ground movement,NA,France,44.05,6.14,1909,6,11,1909,6,11,46,NA
1910,Geophysical,Earthquake,Ground movement,NA,Costa Rica,9.8,-84,1910,4,13,1910,4,13,1750,NA
1910,Geophysical,Earthquake,Ground movement,NA,Algeria,36,4,1910,6,24,1910,6,24,12,NA
1914,Geophysical,Earthquake,Ground movement,NA,Indonesia,-3.924,101.82,1914,6,26,1914,6,26,20,NA
1917,Geophysical,Earthquake,Ground movement,NA,China,28,104,1917,7,31,1917,7,31,1800,NA
1917,Geophysical,Earthquake,Ground movement,NA,Guatemala,14.38,-90.22,1917,12,25,1917,12,25,2650,NA
1917,Geophysical,Earthquake,Ground movement,NA,Indonesia,-7,116,1917,1,21,1917,1,21,15000,NA
1918,Geophysical,Earthquake,Ground movement,NA,China,23.5,117,1918,2,13,1918,2,13,10000,NA
1920,Geophysical,Earthquake,Ground movement,NA,China,36.888,105.606,1920,12,16,1920,12,16,180000,25000
1922,Geophysical,Earthquake,Ground movement,NA,Chile,-28.553,-70.755,1922,11,11,1922,11,11,1000,NA
1923,Geophysical,Earthquake,Ground movement,NA,China,31.295,100.75,1923,3,24,1923,3,24,5000,NA
1924,Geophysical,Earthquake,Ground movement,NA,Ecuador,-1.29,-78.52,1924,3,3,1924,3,3,40,NA
1924,Geophysical,Earthquake,Ground movement,NA,Indonesia,-7.21,109.56,1924,12,2,1924,12,2,727,NA
1925,Geophysical,Earthquake,Ground movement,NA,China,25.713,100.422,1925,3,16,1925,3,16,5000,NA
1927,Geophysical,Earthquake,Ground movement,NA,Indonesia,-0.842,120.764,1927,12,1,1927,12,1,50,NA
1927,Geophysical,Earthquake,Ground movement,NA,China,37.645,102.489,1927,5,23,1927,5,23,40912,NA
1932,Geophysical,Earthquake,Ground movement,NA,Indonesia,0.5,126,1932,5,14,1932,5,14,6,NA
1933,Geophysical,Earthquake,Ground movement,NA,China,31.9,103.4,1933,8,25,1933,8,25,10000,NA
1936,Geophysical,Earthquake,Ground movement,NA,Indonesia,6.1,94.7,1936,8,24,1936,8,24,9,NA
1936,Geophysical,Earthquake,Ground movement,NA,Indonesia,3.5,97.5,1936,9,9,1936,9,9,17,NA
1938,Geophysical,Earthquake,Ground movement,NA,Indonesia,-0.557,118.881,1938,5,20,1938,5,20,NA,NA
1939,Geophysical,Earthquake,Ground movement,NA,Chile,-36.305,-72.315,1939,1,24,1939,1,24,30000,920000
1939,Geophysical,Earthquake,Ground movement,NA,Ghana,5.552,-0.628,1939,6,22,1939,6,22,22,NA
1942,Geophysical,Earthquake,Ground movement,NA,Ecuador,-0.025,-79.955,1942,5,13,1942,5,13,200,2500
1943,Geophysical,Earthquake,Ground movement,NA,Chile,-31.432,-71.475,1943,4,6,1943,4,6,12,100000
1943,Geophysical,Earthquake,Ground movement,NA,Indonesia,-8.591,109.803,1943,7,23,1943,7,23,213,NA
1944,Geophysical,Earthquake,Ground movement,NA,Argentina,-31.372,68.436,1944,1,15,1944,1,15,10000,100000
1946,Geophysical,Earthquake,Ground movement,NA,Chile,-26.5,-70.5,1946,8,2,1946,8,2,2,NA
